model,dataset,baseline,arrival_rate_rps,normalized_latency_mean,normalized_latency_p50,normalized_latency_p90,normalized_latency_p95,normalized_internal_latency_mean,normalized_internal_latency_p50,normalized_internal_latency_p90,normalized_internal_latency_p95,achieved_request_throughput_rps,achieved_output_throughput_tps,latency_from_arrival_mean_s,latency_internal_mean_s,input_tokens_mean,output_tokens_mean
opt-1.3b,humaneval,AFD,0.1,1.717411005579763,1.7258143723011017,2.1828392699360855,2.5592449940741067,1.1121913514203496,1.1008221879601479,1.7112365439534187,1.7172526195645332,0.10105345445452354,1.5814865622132934,26.973668467998504,17.57516477108002,204.45,15.65
opt-1.3b,humaneval,AFD,0.15,1.84389150912563,1.681022785604,2.928202290832996,2.959990192949772,1.5116818596091535,1.4618123173713684,2.210337634384632,2.212010743469,0.14319806909931684,2.2410497814043087,29.165397012233733,23.9557963013649,204.45,15.65
opt-1.3b,humaneval,AFD,0.2,2.76598219656282,2.4150216802954674,4.641467766463757,4.6653464660048485,2.2081282133029565,2.2869904562830925,3.0717958524823192,3.358887403458357,0.16238927479776824,2.541392150585073,43.900159657001495,35.06193205118179,204.45,15.65
opt-1.3b,humaneval,AFD,0.25,3.5131461161706183,3.587695136666298,5.066112338006496,5.163898801058531,2.8706101161738236,2.999296583235264,3.80452480018139,4.289035392552615,0.16783930579267542,2.62668513565537,55.814790439605716,45.56809915304184,204.45,15.65
opt-1.3b,humaneval,AFD,0.3,4.16521604946918,4.594970375299454,5.830290928483009,5.854754655063153,3.359805728412337,3.5520667135715485,4.4366434007883075,4.618616847693921,0.1732868024648389,2.711938458574729,65.96224122047424,53.358227944374086,204.45,15.65
opt-1.3b,humaneval,AFD,0.35,4.4968112462924585,4.980578437447548,5.934955835342407,6.054296146333217,3.692119832833608,3.996364437043667,4.847927588224411,4.857380133867264,0.17622746050702806,2.757959756934989,71.36520891189575,58.64338630437851,204.45,15.65
opt-1.3b,humaneval,AFD,0.4,4.814896341661612,5.287213049829006,6.12211256325245,6.226557897776366,4.155975320272976,4.4018619656562805,5.317289002239704,5.346347760409117,0.17517517976347413,2.74149156329837,76.3350632429123,65.8855357170105,204.45,15.65
opt-1.3b,humaneval,AFD,0.5,5.774680590960714,5.818626388907433,6.427998968958855,6.976759046647286,4.634101554089122,4.833208404481411,5.638349491357803,5.879233402013779,0.17708393490379146,2.7713635812443362,88.31507955789566,72.85583003759385,204.45,15.65
opt-1.3b,humaneval,AFD,0.6,5.887082417805989,5.896085247397423,6.403865303099156,6.9019563836356035,4.789413529551691,4.926171436905861,5.902994205057621,6.0679166808724405,0.18038534436770373,2.823030639354563,90.14191799163818,74.9197181224823,204.45,15.65
opt-1.3b,humaneval,AFD,0.8,6.230079871416092,5.9953474923968315,6.572407507896424,6.991621710360054,5.006115818685956,5.352514840662479,5.928252825140953,6.129635292291641,0.1849892970123428,2.8950824982431644,95.67218000888825,78.18111534118653,204.45,15.65
