model_label,dataset_label,prompt_token_length,max_new_tokens,concurrency,baseline,avg_ttft,avg_tpot,avg_throughput,avg_latency,request_throughput_rps,output_token_throughput_tps
opt-125m,qasper,1024,2,1,PD,0.4638183116912842,0.7964057922363281,1.5870193196327569,1.2602241039276123,0.7933394579088642,1.5866789158177284
opt-125m,qasper,1024,2,1,AFD,0.7971940040588379,1.3692944049835205,0.9231528734021935,2.1664884090423584,0.46036262179133275,0.9207252435826655
opt-125m,qasper,1024,2,1,CPU-Attention,0.7858586311340332,0.8771371841430664,1.202648847114956,1.6629958152770996,0.5992122230433689,1.1984244460867377
opt-125m,qasper,1024,2,1,Naive PIM,0.762286901473999,1.05582857131958,1.1000401404246072,1.818115472793579,0.5471449102318205,1.094289820463641
opt-125m,qasper,1024,2,1,CloverInfer,0.7735042572021484,1.9951167106628418,0.7223812949528773,2.7686209678649902,0.35934663624864505,0.7186932724972901
opt-125m,qasper,1024,2,2,PD,0.42722034454345703,0.7852423191070557,1.6495353300021218,1.2124626636505127,0.824660476459557,1.649320952919114
opt-125m,qasper,1024,2,2,AFD,0.7858562469482422,1.364306926727295,0.9301619637458283,2.150163173675537,0.46380247560126847,0.9276049512025369
opt-125m,qasper,1024,2,2,CPU-Attention,0.7953286170959473,0.8526980876922607,1.2135725678407772,1.648026704788208,0.6045625743216461,1.2091251486432921
opt-125m,qasper,1024,2,2,Naive PIM,0.7904298305511475,1.047025203704834,1.0884620100702687,1.8374550342559814,0.5417252556766923,1.0834505113533845
opt-125m,qasper,1024,2,2,CloverInfer,0.7909555435180664,2.0328361988067627,0.7082675290895918,2.823791742324829,0.3524832849397263,0.7049665698794526
opt-125m,humaneval,1024,2,1,PD,0.43115949630737305,0.7878234386444092,1.6407120581053183,1.2189829349517822,0.820241482397865,1.64048296479573
opt-125m,humaneval,1024,2,1,AFD,0.7889692783355713,1.3681342601776123,0.9271692175603821,2.1571035385131836,0.462254233083344,0.924508466166688
opt-125m,humaneval,1024,2,1,CPU-Attention,0.7838804721832275,0.850841760635376,1.2234494398180302,1.6347222328186035,0.6095260239592923,1.2190520479185847
opt-125m,humaneval,1024,2,1,Naive PIM,0.8064227104187012,1.1037111282348633,1.0470470495459006,1.9101338386535645,0.5212177667449887,1.0424355334899773
opt-125m,humaneval,1024,2,1,CloverInfer,0.8098537921905518,2.0052452087402344,0.7104545876854487,2.815099000930786,0.3534649356848312,0.7069298713696625
opt-125m,humaneval,1024,2,2,PD,0.43561840057373047,0.7881598472595215,1.6342830112735534,1.223778247833252,0.8170157594306471,1.6340315188612942
opt-125m,humaneval,1024,2,2,AFD,0.7825818061828613,1.373171091079712,0.9277501157668154,2.1557528972625732,0.46261520561336356,0.9252304112267271
opt-125m,humaneval,1024,2,2,CPU-Attention,0.7895090579986572,0.8400733470916748,1.227308293064894,1.629582405090332,0.6113803542192391,1.2227607084384782
opt-125m,humaneval,1024,2,2,Naive PIM,0.852694034576416,1.0375311374664307,1.0580750005770556,1.8902251720428467,0.5266942686028959,1.0533885372057918
opt-125m,humaneval,1024,2,2,CloverInfer,0.8216519355773926,1.9592645168304443,0.719187373740881,2.780916452407837,0.3579158654890262,0.7158317309780524
opt-125m,sharegpt,1024,2,1,PD,0.4132106304168701,0.7954630851745605,1.6547062902094765,1.2086737155914307,0.827223584064103,1.654447168128206
opt-125m,sharegpt,1024,2,1,AFD,0.767493724822998,1.356825828552246,0.9414779414058879,2.124319553375244,0.4694818086746204,0.9389636173492408
opt-125m,sharegpt,1024,2,1,CPU-Attention,0.8273694515228271,0.8396625518798828,1.1997370151968545,1.66703200340271,0.5977591783730043,1.1955183567460086
opt-125m,sharegpt,1024,2,1,Naive PIM,0.7753071784973145,1.144723653793335,1.041649939347039,1.9200308322906494,0.5184958824966301,1.0369917649932603
opt-125m,sharegpt,1024,2,1,CloverInfer,0.7494604587554932,1.9874002933502197,0.7307642518755184,2.736860752105713,0.36367549213806005,0.7273509842761201
opt-125m,sharegpt,1024,2,2,PD,0.40295863151550293,0.8021683692932129,1.6595761265475544,1.2051270008087158,0.8290886635581061,1.6581773271162121
opt-125m,sharegpt,1024,2,2,AFD,0.7896757125854492,1.361290454864502,0.9298147178070555,2.150966167449951,0.4636160202322665,0.927232040464533
opt-125m,sharegpt,1024,2,2,CPU-Attention,0.8223381042480469,0.8608031272888184,1.1882544153313939,1.6831412315368652,0.5920588278056635,1.184117655611327
opt-125m,sharegpt,1024,2,2,Naive PIM,0.7899982929229736,1.1416757106781006,1.0353713909653237,1.9316740036010742,0.5151962670753872,1.0303925341507745
opt-125m,sharegpt,1024,2,2,CloverInfer,0.8134539127349854,2.060758352279663,0.6958428312147666,2.8742122650146484,0.3463400725477841,0.6926801450955682
qwen-1_8b,qasper,1024,2,1,PD,1.3369073867797852,2.9372053146362305,0.46793337932745643,4.274112701416016,0.23298033686270553,0.46596067372541106
qwen-1_8b,qasper,1024,2,1,AFD,3.0593531131744385,3.989497661590576,0.2837341949640966,7.048850774765015,0.1412472297310267,0.2824944594620534
