num_dpus,num_heads,dpu_per_head_group,short_len,long_len,long_short_ratio,request_count,baseline,seq_lens,seq_len_mean,seq_len_cv,active_dpus,active_ratio,avg_active_tokens,max_tokens,min_active_tokens,straggler_ratio,spread_ratio,cv_active,all_dpu_imbalance,all_dpu_spread,loads,tail_reduction_vs_clover,straggler_reduction_vs_clover
16,4,4,128,1024,8,32,Naive Static PIM,"[128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128]",352.0,1.1022141502711038,16,1.0,2816.0,8192.0,1024.0,2.909090909090909,2.5454545454545454,1.1022141502711038,2.909090909090909,2.5454545454545454,"[1024, 1024, 8192, 1024, 1024, 1024, 8192, 1024, 1024, 1024, 8192, 1024, 1024, 1024, 8192, 1024]",2.909090909090909,2.909090909090909
16,4,4,128,1024,8,32,Clover Planner,"[128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128, 128, 128, 1024, 128]",352.0,1.1022141502711038,16,1.0,2816.0,2816.0,2816.0,1.0,0.0,0.0,1.0,0.0,"[2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816, 2816]",1.0,1.0
16,4,4,128,4096,32,32,Naive Static PIM,"[128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128]",1120.0,1.53410214384672,16,1.0,8960.0,32768.0,1024.0,3.657142857142857,3.5428571428571427,1.53410214384672,3.657142857142857,3.5428571428571427,"[1024, 1024, 32768, 1024, 1024, 1024, 32768, 1024, 1024, 1024, 32768, 1024, 1024, 1024, 32768, 1024]",3.657142857142857,3.657142857142857
16,4,4,128,4096,32,32,Clover Planner,"[128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128, 128, 128, 4096, 128]",1120.0,1.53410214384672,16,1.0,8960.0,8960.0,8960.0,1.0,0.0,0.0,1.0,0.0,"[8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960, 8960]",1.0,1.0
16,4,4,128,16384,128,32,Naive Static PIM,"[128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128]",4192.0,1.6791637600095222,16,1.0,33536.0,131072.0,1024.0,3.9083969465648853,3.877862595419847,1.6791637600095222,3.9083969465648853,3.877862595419847,"[1024, 1024, 131072, 1024, 1024, 1024, 131072, 1024, 1024, 1024, 131072, 1024, 1024, 1024, 131072, 1024]",3.9083969465648853,3.9083969465648853
16,4,4,128,16384,128,32,Clover Planner,"[128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128, 128, 128, 16384, 128]",4192.0,1.6791637600095222,16,1.0,33536.0,33536.0,33536.0,1.0,0.0,0.0,1.0,0.0,"[33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536, 33536]",1.0,1.0
32,4,8,128,1024,8,64,Naive Static PIM,"[128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128]",240.0,1.2346839451634757,32,1.0,1920.0,8192.0,1024.0,4.266666666666667,3.7333333333333334,1.2346839451634757,4.266666666666667,3.7333333333333334,"[1024, 1024, 1024, 1024, 8192, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 8192, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 8192, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 8192, 1024, 1024, 1024]",4.266666666666667,4.266666666666667
32,4,8,128,1024,8,64,Clover Planner,"[128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128, 128, 128, 128, 128, 1024, 128, 128, 128]",240.0,1.2346839451634757,32,1.0,1920.0,1920.0,1920.0,1.0,0.0,0.0,1.0,0.0,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",1.0,1.0
32,4,8,128,4096,32,64,Naive Static PIM,"[128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128]",624.0,2.1030330934103154,32,1.0,4992.0,32768.0,1024.0,6.564102564102564,6.358974358974359,2.1030330934103154,6.564102564102564,6.358974358974359,"[1024, 1024, 1024, 1024, 32768, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 32768, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 32768, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 32768, 1024, 1024, 1024]",6.564102564102564,6.564102564102564
32,4,8,128,4096,32,64,Clover Planner,"[128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128, 128, 128, 128, 128, 4096, 128, 128, 128]",624.0,2.1030330934103154,32,1.0,4992.0,4992.0,4992.0,1.0,0.0,0.0,1.0,0.0,"[4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992, 4992]",1.0,1.0
