scenario,batch_size,gap_ratio,avg_alignment_ratio,avg_pim_time_s,avg_host_time_s,throughput_rps,capacity_ok,p95_capacity_usage,stage_bottleneck,is_gap_optimal
short,1,0.7036363636363633,0.2963636363636367,0.006520000000000009,0.022000000000000013,45.45454545454543,True,0.0078125,host,False
short,2,0.673020908001792,0.326979091998208,0.008039999999999997,0.024588728138140586,81.33808258661894,True,0.015625,host,False
short,4,0.6159822718950323,0.3840177281049676,0.011080000000000003,0.028852834619581377,138.6345588826598,True,0.03125,host,False
short,8,0.5216937287870859,0.47830627121291414,0.017160000000000005,0.03587659420915552,222.98660662606716,True,0.0625,host,False
short,16,0.3820343754708899,0.6179656245291101,0.02932,0.047446004819996,337.22544312639025,True,0.125,host,False
short,32,0.19341899828339526,0.8065810017166047,0.05363999999999999,0.06650293012833274,481.18180564748985,True,0.25,host,True
medium,1,0.5509090909090911,0.44909090909090915,0.009879999999999998,0.022000000000000013,45.45454545454543,True,0.03125,host,False
medium,2,0.3997249505107519,0.600275049489248,0.014759999999999997,0.024588728138140586,81.33808258661894,True,0.0625,host,False
medium,4,0.15017015404929523,0.8498298459507048,0.024519999999999993,0.028852834619581377,138.6345588826598,True,0.125,host,True
medium,8,0.18536343757594187,0.8146365624240579,0.044039999999999996,0.03587659420915552,181.65304268846504,True,0.25,pim,False
medium,16,0.4289118341358209,0.5710881658641791,0.08308,0.047446004819996,192.58545979778526,True,0.5,pim,False
medium,32,0.5873484107201989,0.41265158927980106,0.16116,0.06650293012833274,198.56043683296105,True,1.0,pim,False
long,1,0.056603773584905835,0.9433962264150949,0.023320000000000004,0.022000000000000013,42.881646655231556,True,0.125,pim,True
long,2,0.40949259994859283,0.5905074000514073,0.04163999999999998,0.024588728138140586,48.03073967339099,True,0.25,pim,False
long,4,0.6314149895301304,0.36858501046986947,0.07827999999999999,0.028852834619581377,51.0986203372509,True,0.5,pim,False
long,8,0.7632845459939592,0.2367154540060406,0.15156,0.03587659420915552,52.78437582475587,True,1.0,pim,False
long,16,0.8408493062525292,0.15915069374747082,0.29812,0.047446004819996,0.0,False,2.0,pim,False
long,32,0.88751956882428,0.11248043117572007,0.59124,0.06650293012833274,0.0,False,4.0,pim,False
very_long,1,0.466537342386033,0.533462657613967,0.041240000000000006,0.022000000000000013,24.24830261881668,True,0.25,pim,True
very_long,2,0.6826441902666421,0.3173558097333581,0.07748,0.024588728138140586,25.81311306143521,True,0.5,pim,False
very_long,4,0.8075964615925492,0.19240353840745117,0.14996000000000004,0.028852834619581377,26.67377967457988,True,1.0,pim,False
very_long,8,0.8783514369688205,0.12164856303117969,0.2949199999999999,0.03587659420915552,0.0,False,2.0,pim,False
very_long,16,0.9188735298201286,0.08112647017987143,0.5848399999999999,0.047446004819996,0.0,False,4.0,pim,False
very_long,32,0.9429002557540846,0.0570997442459154,1.1646799999999997,0.06650293012833274,0.0,False,8.0,pim,False
