scenario,batch_size,gap_ratio,avg_alignment_ratio,avg_pim_time_s,avg_host_time_s,throughput_rps,capacity_ok,p95_capacity_usage,stage_bottleneck,is_gap_optimal
homogeneous,1,0.056603773584905835,0.9433962264150949,0.023320000000000004,0.022000000000000013,42.881646655231556,True,0.125,pim,True
homogeneous,2,0.40949259994859283,0.5905074000514073,0.04163999999999998,0.024588728138140586,48.03073967339099,True,0.25,pim,False
homogeneous,4,0.6314149895301304,0.36858501046986947,0.07827999999999999,0.028852834619581377,51.0986203372509,True,0.5,pim,False
homogeneous,8,0.7632845459939592,0.2367154540060406,0.15156,0.03587659420915552,52.78437582475587,True,1.0,pim,False
homogeneous,16,0.8408493062525292,0.15915069374747082,0.29812,0.047446004819996,0.0,False,2.0,pim,False
homogeneous,32,0.88751956882428,0.11248043117572007,0.59124,0.06650293012833274,0.0,False,4.0,pim,False
mixed,1,0.44006003430531737,0.5599399656946826,0.012960000000000001,0.022000000000000013,44.782803403493034,True,0.125,mixed,False
mixed,2,0.1593709562101589,0.8406290437898413,0.020919999999999994,0.024588728138140586,80.92459892597336,True,0.1328125,mixed,True
mixed,4,0.21680687786152616,0.7831931221384741,0.03683999999999999,0.028852834619581377,108.57763300760047,True,0.2109375,pim,False
mixed,8,0.47762675874846355,0.5223732412515364,0.06867999999999998,0.03587659420915552,116.48223645894005,True,0.421875,pim,False
mixed,16,0.6415381926564219,0.3584618073435782,0.13235999999999998,0.047446004819996,120.88244182532489,True,0.84375,pim,False
mixed,32,0.7439437466181551,0.25605625338184484,0.25971999999999995,0.06650293012833274,0.0,False,1.6875,pim,False
bursty,1,0.5571188982037123,0.44288110179628776,0.01743999999999999,0.022000000000000013,37.071362372567194,True,0.25,mixed,False
bursty,2,0.386933278614336,0.613066721385664,0.029880000000000004,0.024588728138140586,58.79381772333602,True,0.265625,mixed,True
bursty,4,0.4586094376570131,0.5413905623429869,0.05475999999999999,0.028852834619581377,73.04601899196496,True,0.3984375,pim,False
bursty,8,0.656749002974019,0.34325099702598083,0.10451999999999997,0.03587659420915552,76.54037504783776,True,0.671875,pim,False
bursty,16,0.767467139678514,0.232532860321486,0.20403999999999997,0.047446004819996,0.0,False,1.34375,pim,False
bursty,32,0.8350130740092966,0.16498692599070344,0.40307999999999994,0.06650293012833274,0.0,False,2.6875,pim,False
capacity_pressure,1,0.30698758199919157,0.6930124180008086,0.030879999999999977,0.022000000000000013,31.178144120971215,True,0.25,mixed,True
capacity_pressure,2,0.5643154932692489,0.43568450673075115,0.056760000000000005,0.024588728138140586,35.236081747709655,True,0.375,pim,False
capacity_pressure,4,0.7337074030112083,0.26629259698879165,0.10851999999999998,0.028852834619581377,36.859565057132336,True,0.75,pim,False
capacity_pressure,8,0.8307448168149404,0.16925518318505975,0.21204,0.03587659420915552,0.0,False,1.4375,pim,False
capacity_pressure,16,0.886772388402427,0.11322761159757302,0.41907999999999995,0.047446004819996,0.0,False,2.875,pim,False
capacity_pressure,32,0.9201798812613031,0.07982011873869693,0.83316,0.06650293012833274,0.0,False,5.6875,pim,False
