experiment,result_path,result_index,workload,prompt_token_length,max_new_tokens,limit,concurrency,decode_batch_max_size,baseline,baseline_key,internal_baseline,output_token_throughput_tps,avg_latency_s,avg_tpot_s,wall_time_s,num_requests,num_dpus,resident_kv_dtype,head_grouping_policy,dpu_placement_policy,dpu_active_count,dpu_active_ratio,dpu_avg_live_elems_active,dpu_max_live_elems,dpu_min_live_elems_active,dpu_imbalance_ratio,dpu_spread_ratio,rank_imbalance_ratio,block_fill_ratio,avg_blocks_per_slot,allocator_max_usage_ratio,allocator_avg_usage_ratio,fallback_allocations,dpu_allocate_failures,total_tokens,dense_compute_s,pim_compute_s,dense_throughput_tps,pim_throughput_tps,throughput_gap_ratio,decode_batch_max_observed_size,decode_batch_config_max_size,decode_batch_flushes,decode_batch_wait_s,decode_batch_reordered_flushes,decode_batch_size_histogram,mixed_prompt_lengths
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__humaneval__p128__naive-pim/results.jsonl,0,humaneval,128,2,1,1,8,Naive PIM,naive_pim,disagg_pim_naive,0.9772464175179577,2.009640693664551,1.4986748695373535,2.0465667247772217,1,4,fp32,coarse,load_aware,4,1.0,589824.0,589824.0,589824.0,1.0,0.0,1.0,0.5078125,1.0,0.5625,0.5625,0,0,2,0.2691834947327152,0.5661979793803766,7.429876047882851,3.532333340695981,0.5245770833952845,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__humaneval__p128__cloverinfer/results.jsonl,0,humaneval,128,2,1,1,8,CloverInfer,cloverinfer,disagg_cloverinfer,1.0391243843807687,1.887967824935913,1.3675975799560547,1.9246973991394043,1,4,fp32,balanced,rotated,4,1.0,589824.0,589824.0,589824.0,1.0,0.0,1.0,0.5078125,1.0,0.5625,0.5625,0,0,2,0.29738947306759655,0.44171585922595114,6.725187611282395,4.527797583507046,0.32674033124205126,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__humaneval__p256__naive-pim/results.jsonl,0,humaneval,256,2,1,1,8,Naive PIM,naive_pim,disagg_pim_naive,0.7889646257589754,2.4958038330078125,1.9724922180175781,2.5349678993225098,1,4,fp32,coarse,load_aware,4,1.0,983040.0,983040.0,983040.0,1.0,0.0,1.0,0.50390625,2.0,0.9375,0.9375,8,8,2,0.2755845523206517,0.9201034131692722,7.257300828941,2.173668710901802,0.7004852407063593,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__humaneval__p256__cloverinfer/results.jsonl,0,humaneval,256,2,1,1,8,CloverInfer,cloverinfer,disagg_cloverinfer,0.849407381815575,2.316490650177002,1.7790820598602295,2.3545827865600586,1,4,fp32,balanced,rotated,4,1.0,983040.0,983040.0,983040.0,1.0,0.0,1.0,0.50390625,2.0,0.9375,0.9375,8,8,2,0.2754137220326811,0.7206081742187962,7.261802299606104,2.775433406883261,0.6178037775782182,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__humaneval__p512__naive-pim/results.jsonl,0,humaneval,512,2,1,1,8,Naive PIM,naive_pim,disagg_pim_naive,0.5984799084280811,3.067579507827759,2.478165864944458,3.341799736022949,1,4,fp32,coarse,load_aware,4,1.0,1032192.0,1032192.0,1032192.0,1.0,0.0,1.0,0.6692708333333334,3.0,0.984375,0.984375,20,20,2,0.2759552038041875,1.2655448679579422,7.247553126119563,1.5803469719940944,0.7819475146310195,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__humaneval__p512__cloverinfer/results.jsonl,0,humaneval,512,2,1,1,8,CloverInfer,cloverinfer,disagg_cloverinfer,0.7143082309541616,2.763643264770508,2.0948166847229004,2.7999117374420166,1,4,fp32,balanced,rotated,4,1.0,1032192.0,1032192.0,1032192.0,1.0,0.0,1.0,0.6692708333333334,3.0,0.984375,0.984375,20,20,2,0.2814671570667997,0.9850955987349153,7.105624758647584,2.030259806833419,0.7142742720318038,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__sharegpt__p128__naive-pim/results.jsonl,0,sharegpt,128,2,1,1,8,Naive PIM,naive_pim,disagg_pim_naive,1.020805621081978,1.9283533096313477,1.523414134979248,1.9592368602752686,1,4,fp32,coarse,load_aware,4,1.0,589824.0,589824.0,589824.0,1.0,0.0,1.0,0.5078125,1.0,0.5625,0.5625,0,0,2,0.3006932423450053,0.5647150530712679,6.651296798034681,3.5416091515938337,0.46753103054425343,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__sharegpt__p128__cloverinfer/results.jsonl,0,sharegpt,128,2,1,1,8,CloverInfer,cloverinfer,disagg_cloverinfer,1.082088971761047,1.8173370361328125,1.3887934684753418,1.8482768535614014,1,4,fp32,balanced,rotated,4,1.0,589824.0,589824.0,589824.0,1.0,0.0,1.0,0.5078125,1.0,0.5625,0.5625,0,0,2,0.2775146315107122,0.4439362201374024,7.206827218848095,4.50515166205853,0.3748772483019771,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__sharegpt__p256__naive-pim/results.jsonl,0,sharegpt,256,2,1,1,8,Naive PIM,naive_pim,disagg_pim_naive,0.7953842234249466,2.476625442504883,2.038848638534546,2.514508008956909,1,4,fp32,coarse,load_aware,4,1.0,983040.0,983040.0,983040.0,1.0,0.0,1.0,0.50390625,2.0,0.9375,0.9375,8,8,2,0.2801437402376905,0.9214313210686669,7.13919218149612,2.170536158549961,0.6959689411113326,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__sharegpt__p256__cloverinfer/results.jsonl,0,sharegpt,256,2,1,1,8,CloverInfer,cloverinfer,disagg_cloverinfer,0.8605036720573841,2.29020619392395,1.830796718597412,2.3242201805114746,1,4,fp32,balanced,rotated,4,1.0,983040.0,983040.0,983040.0,1.0,0.0,1.0,0.50390625,2.0,0.9375,0.9375,8,8,2,0.2978863682365045,0.7274041498312727,6.71396953086526,2.7495031482346044,0.5904802463587792,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__sharegpt__p512__naive-pim/results.jsonl,0,sharegpt,512,2,1,1,8,Naive PIM,naive_pim,disagg_pim_naive,0.6461081353198049,3.056215524673462,2.42728328704834,3.095457077026367,1,4,fp32,coarse,load_aware,4,1.0,1032192.0,1032192.0,1032192.0,1.0,0.0,1.0,0.6692708333333334,3.0,0.984375,0.984375,20,20,2,0.27938808233011514,1.2692358389031142,7.158501476941562,1.5757512817542398,0.779876935580731,1,8,1,0.0,0,"{""1"": 1}",
imbalance,artifacts/motivation_opt125m_pilot_20260516/cases/imbalance__sharegpt__p512__cloverinfer/results.jsonl,0,sharegpt,512,2,1,1,8,CloverInfer,cloverinfer,disagg_cloverinfer,0.7356000589980745,2.6828129291534424,2.116217851638794,2.7188687324523926,1,4,fp32,balanced,rotated,4,1.0,1032192.0,1032192.0,1032192.0,1.0,0.0,1.0,0.6692708333333334,3.0,0.984375,0.984375,20,20,2,0.2770365703618154,0.985231552622281,7.219263497912782,2.0299796476034726,0.7188107002618236,1,8,1,0.0,0,"{""1"": 1}",
